Rank,bwaves_Pattern,bwaves_pct,cactusbssn_Pattern,cactusbssn_pct,exchange2_Pattern,exchange2_pct,gcc_Pattern,gcc_pct,leela_Pattern,leela_pct,povray_Pattern,povray_pct,wrf_Pattern,wrf_pct,xz_Pattern,xz_pct
1,DDDD,94.71,DDDD,85.99,DDDD,50.85,DDDD,87.25,DDDD,72.82,DDDD,96.44,SSSS,65.91,DDDD,92.25
2,SSSS,4.86,DSDS,5.15,DSDS,16.21,DDDS,7.93,DDSD,13.45,SSSS,1.20,DDDD,30.70,SSSS,5.34
3,SSSD,0.08,DDSD,4.09,SSSS,9.68,SSSS,1.68,DSDS,7.65,DDDS,0.73,SSSD,0.63,DSDS,1.52
4,SSDS,0.08,SSSS,2.58,DDDS,8.08,DDSD,1.28,DSDD,5.39,DSDS,0.51,SSDS,0.56,DSDD,0.56
5,SDSS,0.08,DDDS,1.79,DSDD,6.91,DSDS,1.15,SSSS,0.60,DSDD,0.39,SDSS,0.56,DDSD,0.31
6,DSSS,0.08,DSDD,0.24,SDDD,2.14,SDDD,0.22,DDDS,0.04,DDSD,0.27,DSSS,0.56,DDDS,0.00
7,DDSD,0.05,SDDD,0.06,SSSD,1.93,DSDD,0.18,SDDD,0.02,SDDD,0.17,DSDS,0.53,SDDD,0.00
8,DDDS,0.03,SSDD,0.04,SSDD,1.76,SSDD,0.15,SSDD,0.02,SSDD,0.15,DDDS,0.18,SSDD,0.00
9,DSDS,0.02,SSSD,0.04,DDSD,1.34,SSSD,0.14,SSSD,0.02,SSSD,0.13,DDSD,0.17,SSSD,0.00
10,DSDD,0.00,DSSS,0.00,DSSS,0.29,SSDS,0.01,D,0.00,D,0.00,SSDD,0.07,DSSS,0.00
11,SSDD,0.00,SDSS,0.00,SDSS,0.29,DSSS,0.01,DD,0.00,DD,0.00,SDDD,0.07,SDSS,0.00
12,SDDD,0.00,SSDS,0.00,SSDS,0.29,SDSS,0.01,DDD,0.00,DDD,0.00,DDSS,0.02,SSDS,0.00
13,SDDS,0.00,DSSD,0.00,DDSS,0.11,DDSS,0.00,-,0.00,-,0.00,SDDS,0.02,D,0.00
14,DDSS,0.00,D,0.00,SDDS,0.11,SDDS,0.00,-,0.00,-,0.00,DSDD,0.02,DD,0.00
15,D,0.00,DD,0.00,DDD,0.00,SDSD,0.00,-,0.00,-,0.00,D,0.00,DDD,0.00
16,DDD,0.00,DDD,0.00,DD,0.00,D,0.00,-,0.00,-,0.00,DDD,0.00,-,0.00
17,DD,0.00,-,0.00,D,0.00,DDD,0.00,-,0.00,-,0.00,DD,0.00,-,0.00
18,-,0.00,-,0.00,-,0.00,DD,0.00,-,0.00,-,0.00,-,0.00,-,0.00
